y,x
10,1
9.727272727,1.1
9.5,1.2
9.307692308,1.3
9.142857143,1.4
9,1.5
8.875,1.6
8.764705882,1.7
8.666666667,1.8
8.578947368,1.9
8.5,2
8.428571429,2.1
8.363636364,2.2
8.304347826,2.3
8.25,2.4
8.2,2.5
8.153846154,2.6
8.111111111,2.7
8.071428571,2.8
8.034482759,2.9
8,3
7.967741935,3.1
7.9375,3.2
7.909090909,3.3
7.882352941,3.4
7.857142857,3.5
7.833333333,3.6
7.810810811,3.7
7.789473684,3.8
7.769230769,3.9
7.75,4
7.731707317,4.1
7.714285714,4.2
7.697674419,4.3
7.681818182,4.4
7.666666667,4.5
7.652173913,4.6
7.638297872,4.7
7.625,4.8
7.612244898,4.9
7.6,5
